NOTA_CN,NOTA_MT,NOTA_LC,NOTA_CH,NOTA_REDACAO,nota_final
551.5,594.5,561.3,592.7,600.0,580.0
412.0,696.4,526.0,516.6,680.0,566.2
476.7,566.6,559.6,624.3,800.0,605.4399999999999
423.6,539.0,455.6,504.2,560.0,496.48
462.1,496.3,552.4,528.3,600.0,527.82
518.1,516.4,442.2,463.1,440.0,475.96000000000004
557.3,426.3,602.6,665.7,620.0,574.3799999999999
485.0,597.8,537.5,386.5,680.0,537.36
443.8,575.8,482.2,426.0,720.0,529.5600000000001
557.8,707.2,579.4,501.8,740.0,617.24
487.0,411.0,430.9,532.9,420.0,456.36
689.5,842.3,653.8,686.1,900.0,754.3399999999999
414.3,459.0,498.3,482.9,560.0,482.9
484.9,557.2,545.8,561.5,820.0,593.8799999999999
450.8,457.2,499.1,488.8,600.0,499.17999999999995
472.0,458.0,525.1,523.2,540.0,503.66
665.8,829.7,610.9,634.1,600.0,668.1
479.2,482.5,506.2,595.7,680.0,548.72
536.6,609.9,492.5,547.6,560.0,549.3199999999999
584.7,643.6,570.7,675.7,600.0,614.94
499.9,611.1,569.9,589.1,800.0,614.0
511.2,588.1,563.0,584.3,660.0,581.3199999999999
478.5,579.6,434.6,550.1,560.0,520.56
466.5,423.9,410.5,378.9,460.0,427.96000000000004
567.5,712.4,620.0,713.3,900.0,702.64
552.4,607.7,523.9,511.8,620.0,563.1600000000001
429.4,475.9,597.0,451.1,580.0,506.68
540.4,622.6,556.3,537.3,600.0,571.3199999999999
557.5,620.7,579.1,631.8,680.0,613.82
490.3,501.0,552.7,532.5,680.0,551.3
459.1,608.5,550.5,552.0,900.0,614.02
441.4,482.3,417.4,408.7,500.0,449.96000000000004
570.0,611.9,601.1,652.5,740.0,635.1
649.8,678.3,669.5,722.3,900.0,723.9799999999999
612.0,532.9,552.9,575.8,680.0,590.72
652.9,695.0,627.0,644.0,760.0,675.78
603.2,625.2,559.1,644.4,720.0,630.38
621.9,660.4,633.8,706.0,740.0,672.42
379.8,580.3,489.4,555.2,680.0,536.9399999999999
523.3,429.7,458.3,583.0,860.0,570.86
579.0,606.7,562.9,613.4,720.0,616.4
551.9,676.1,602.2,643.0,880.0,670.64
564.9,762.6,572.7,603.2,800.0,660.6800000000001
583.0,612.7,588.0,494.6,700.0,595.6600000000001
406.5,407.3,452.5,452.8,460.0,435.82
579.4,537.4,602.2,640.8,720.0,615.96
512.0,624.7,557.4,557.5,580.0,566.3199999999999
529.0,392.4,502.6,416.2,520.0,472.03999999999996
583.2,607.0,660.7,612.0,620.0,616.58
592.3,637.4,535.7,560.2,680.0,601.12
607.9,654.8,527.6,566.5,840.0,639.3599999999999
407.5,443.8,532.4,490.9,600.0,494.91999999999996
643.1,822.5,663.9,539.4,620.0,657.78
560.2,671.6,600.3,637.7,840.0,661.96
384.6,463.6,466.6,565.4,400.0,456.0400000000001
476.3,733.0,556.4,572.1,760.0,619.56
475.7,492.8,521.5,564.2,560.0,522.8399999999999
408.3,552.0,557.5,470.5,500.0,497.66
389.0,412.7,421.6,445.6,480.0,429.78000000000003
460.6,565.1,462.1,592.0,420.0,499.96000000000004
577.6,665.4,568.7,587.0,600.0,599.74
752.8,846.8,683.7,750.2,800.0,766.7
414.4,451.7,476.6,516.0,540.0,479.73999999999995
467.6,510.2,447.6,463.5,780.0,533.78
567.1,716.4,582.9,651.5,500.0,603.58
554.9,514.3,514.9,501.5,680.0,553.12
581.6,720.4,534.7,571.3,820.0,645.6
499.6,409.1,557.9,619.0,560.0,529.12
598.2,602.9,569.3,641.0,840.0,650.28
542.9,583.6,628.4,590.6,620.0,593.1
497.3,423.2,472.5,525.9,600.0,503.78000000000003
480.8,673.9,546.2,596.2,700.0,599.4200000000001
413.9,528.3,491.5,562.8,700.0,539.3
512.1,508.6,604.4,602.8,580.0,561.5799999999999
530.1,670.8,591.6,660.7,880.0,666.64
409.9,431.3,476.2,518.0,540.0,475.08000000000004
460.7,669.9,595.9,609.2,860.0,639.14
499.4,556.3,512.3,568.2,580.0,543.24
562.5,472.3,561.3,718.2,640.0,590.86
499.8,467.6,525.1,454.7,820.0,553.4399999999999
612.3,693.8,552.0,639.3,680.0,635.4799999999999
598.4,670.4,606.7,590.1,600.0,613.12
405.6,452.8,457.3,429.8,640.0,477.1
539.2,630.0,549.9,605.5,720.0,608.92
753.1,839.5,658.8,668.5,940.0,771.9799999999999
614.4,769.5,636.5,771.6,820.0,722.4
420.3,424.9,501.2,514.4,620.0,496.16
682.1,789.1,651.7,711.2,880.0,742.82
525.4,630.0,506.9,531.4,900.0,618.74
496.9,551.0,564.6,574.6,700.0,577.42
424.3,404.4,475.5,411.4,480.0,439.12
