TP_FAIXA_ETARIA,SEXO,TP_COR_RACA,TP_ESCOLA,MUNIC_ESCOLA,SG_UF_ESC,NO_MUNICIPIO_PROVA,UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NOTA_REDACAO,nota_final
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,551.5,592.7,561.3,594.5,600.0,580.0
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,412.0,516.6,526.0,696.4,680.0,566.2
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,476.7,624.3,559.6,566.6,800.0,605.4399999999999
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,423.6,504.2,455.6,539.0,560.0,496.48
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,462.1,528.3,552.4,496.3,600.0,527.82
Entre 41 e 45 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,518.1,463.1,442.2,516.4,440.0,475.96000000000004
18 anos,F,Preto,Não respondeu,,,Santo André,SP,1,1,1,1,557.3,665.7,602.6,426.3,620.0,574.3799999999999
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,485.0,386.5,537.5,597.8,680.0,537.36
18 anos,F,Não Declarado,Privada,Santo André,SP,Santo André,SP,1,1,1,1,443.8,426.0,482.2,575.8,720.0,529.5600000000001
Entre 31 e 35 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,557.8,501.8,579.4,707.2,740.0,617.24
24 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,487.0,532.9,430.9,411.0,420.0,456.36
19 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,689.5,686.1,653.8,842.3,900.0,754.3399999999999
20 anos,F,Preto,Não respondeu,,,Santo André,SP,1,1,1,1,414.3,482.9,498.3,459.0,560.0,482.9
22 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,484.9,561.5,545.8,557.2,820.0,593.8799999999999
21 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,450.8,488.8,499.1,457.2,600.0,499.17999999999995
17 anos,M,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,472.0,523.2,525.1,458.0,540.0,503.66
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,665.8,634.1,610.9,829.7,600.0,668.1
24 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,479.2,595.7,506.2,482.5,680.0,548.72
17 anos,M,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,536.6,547.6,492.5,609.9,560.0,549.3199999999999
18 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,584.7,675.7,570.7,643.6,600.0,614.94
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,499.9,589.1,569.9,611.1,800.0,614.0
24 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,511.2,584.3,563.0,588.1,660.0,581.3199999999999
17 anos,M,Branco,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,478.5,550.1,434.6,579.6,560.0,520.56
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,466.5,378.9,410.5,423.9,460.0,427.96000000000004
25 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,567.5,713.3,620.0,712.4,900.0,702.64
19 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,552.4,511.8,523.9,607.7,620.0,563.1600000000001
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,429.4,451.1,597.0,475.9,580.0,506.68
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,540.4,537.3,556.3,622.6,600.0,571.3199999999999
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,557.5,631.8,579.1,620.7,680.0,613.82
17 anos,F,Preto,Pública,Santo André,SP,Santo André,SP,1,1,1,1,490.3,532.5,552.7,501.0,680.0,551.3
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,459.1,552.0,550.5,608.5,900.0,614.02
17 anos,M,Branco,Pública,,,Santo André,SP,1,1,1,1,441.4,408.7,417.4,482.3,500.0,449.96000000000004
18 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,570.0,652.5,601.1,611.9,740.0,635.1
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,649.8,722.3,669.5,678.3,900.0,723.9799999999999
17 anos,M,Branco,Pública,,,Santo André,SP,1,1,1,1,612.0,575.8,552.9,532.9,680.0,590.72
25 anos,F,Amarelo,Não respondeu,,,Santo André,SP,1,1,1,1,652.9,644.0,627.0,695.0,760.0,675.78
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,603.2,644.4,559.1,625.2,720.0,630.38
18 anos,F,Pardo,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,621.9,706.0,633.8,660.4,740.0,672.42
18 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,379.8,555.2,489.4,580.3,680.0,536.9399999999999
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,523.3,583.0,458.3,429.7,860.0,570.86
Entre 26 e 30 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,579.0,613.4,562.9,606.7,720.0,616.4
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,551.9,643.0,602.2,676.1,880.0,670.64
